OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
136,45098,"Oak, Pin",Quercus palustris,1,3-6in,4,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0812912,42.3511009,POINT (-71.081288960999984 42.351102022000077),-71.08128896,42.35110202
137,45099,"Elm, Siberian",Ulmus pumila,1,12-18in,13,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0812912,42.3511734,POINT (-71.081292983999958 42.35117338200007),-71.08129298,42.35117338
138,45100,"Oak, Northern Red",Quercus rubra,1,3-6in,3,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0813141,42.3509331,POINT (-71.081311758999959 42.350933531000067),-71.08131176,42.35093353
139,45101,"Maple, Red",Acer rubrum,1,6-12in,8,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0813522,42.3510094,POINT (-71.08134930999995 42.351008856000078),-71.08134931,42.35100886
140,45102,"Zelkova, Japanese",Zelkova serrata,1,12-18in,17,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0813751,42.3510857,POINT (-71.081376131999946 42.351084181000033),-71.08137613,42.35108418
141,45103,"Elm, September",Ulmus serotina,1,24-30in,24,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0814133,42.3511391,POINT (-71.081416365999985 42.351138693000053),-71.08141637,42.35113869
142,45168,"Linden, Silver",Tilia tomentosa,1,>30in,32,--,Boston,Central Boston,Copps Hill Terrace,-71.0554962,42.3678818,POINT (-71.055499855999983 42.367882423000026),-71.05549986,42.36788242
143,45169,"Linden, Silver",Tilia tomentosa,1,12-18in,16,--,Boston,Central Boston,Copps Hill Terrace,-71.0552597,42.3677559,POINT (-71.055261139999971 42.367756584000063),-71.05526114,42.36775658
144,45170,"Linden, Silver",Tilia tomentosa,1,18-24in,23,--,Boston,Central Boston,Copps Hill Terrace,-71.0556641,42.367775,POINT (-71.055667493999977 42.367775410000036),-71.05566749,42.36777541
145,45171,"Linden, Silver",Tilia tomentosa,1,12-18in,12,--,Boston,Central Boston,Copps Hill Terrace,-71.055603,42.3677444,POINT (-71.055600438999988 42.367743703000031),-71.05560044,42.3677437
146,45172,"Linden, Silver",Tilia tomentosa,1,12-18in,12,--,Boston,Central Boston,Copps Hill Terrace,-71.0555191,42.3677063,POINT (-71.055519972999946 42.367705060000048),-71.05551997,42.36770506
147,45173,"Linden, Silver",Tilia tomentosa,1,12-18in,12,--,Boston,Central Boston,Copps Hill Terrace,-71.0554581,42.367672,POINT (-71.055454258999987 42.367672361000075),-71.05545426,42.36767236
148,45174,"Linden, Silver",Tilia tomentosa,1,12-18in,14,--,Boston,Central Boston,Copps Hill Terrace,-71.0553818,42.3676376,POINT (-71.055381838999949 42.36763669100003),-71.05538184,42.36763669
149,45175,"Linden, Silver",Tilia tomentosa,1,12-18in,13,--,Boston,Central Boston,Copps Hill Terrace,-71.0553513,42.3676796,POINT (-71.055352334999952 42.367678307000062),-71.05535233,42.36767831
150,45176,"Linden, Silver",Tilia tomentosa,1,24-30in,30,--,Boston,Central Boston,Copps Hill Terrace,-71.0551834,42.3676643,POINT (-71.055183355999986 42.367662453000037),-71.05518336,42.36766245
151,45177,"Linden, Silver",Tilia tomentosa,1,24-30in,25,--,Boston,Central Boston,Copps Hill Terrace,-71.0552673,42.3675842,POINT (-71.055263821999972 42.367583184000068),-71.05526382,42.36758318
152,45178,"Linden, Silver",Tilia tomentosa,1,6-12in,10,--,Boston,Central Boston,Copps Hill Terrace,-71.0552063,42.3675575,POINT (-71.05520347199996 42.36755841300004),-71.05520347,42.36755841
153,45179,"Linden, Littleleaf",Tilia cordata,1,>30in,32,--,Boston,Jamaica Plain,English High Athletic Field,-71.10849,42.3056564,POINT (-71.108493580999948 42.305657423000071),-71.10849358,42.30565742
